Date,Open,High,Low,Close,Adj Close,Volume
2016-05-09,11.680274,11.689927,10.521900,10.618431,10.618431,890074
2016-05-10,10.763228,11.062475,10.444675,10.570166,10.570166,930994
2016-05-11,10.763228,10.821147,10.435022,10.444675,10.444675,1180861
2016-05-12,10.570166,10.608778,9.884794,10.145428,10.145428,991182
2016-05-13,10.048897,10.058550,8.900176,9.131851,9.131851,1333972
2016-05-16,9.141504,10.396409,8.900176,9.990978,9.990978,2203536
2016-05-17,10.174388,10.348144,9.894447,9.981325,9.981325,1828320
2016-05-18,9.904100,10.087510,9.479363,10.019938,10.019938,721839
2016-05-19,9.846182,10.261266,9.797916,10.251613,10.251613,558057
2016-05-20,10.338491,11.023862,9.971672,10.743922,10.743922,512269
2016-05-23,10.657044,10.724615,10.270919,10.608778,10.608778,281463
2016-05-24,10.531553,10.618431,9.797916,10.087510,10.087510,1208521
2016-05-25,10.222653,10.599125,9.933060,10.135775,10.135775,557436
2016-05-27,10.164735,10.599125,10.010285,10.483287,10.483287,834238
2016-05-30,10.328838,10.589472,10.232306,10.570166,10.570166,330670
2016-05-31,10.213000,10.213000,9.556588,9.556588,9.556588,18118805
2016-06-01,9.653119,9.653119,9.170463,9.170463,9.170463,1202202
2016-06-02,9.228382,9.266994,8.571970,9.112544,9.112544,3248379
2016-06-03,9.170463,9.305607,8.948441,8.967748,8.967748,933377
2016-06-06,8.967748,9.102891,8.543010,8.687807,8.687807,1793824
2016-06-07,8.697460,8.822951,8.591276,8.620235,8.620235,3405013
2016-06-08,8.678154,9.180116,8.649195,9.170463,9.170463,1399547
2016-06-09,9.093238,9.373179,8.938788,9.305607,9.305607,571110
2016-06-10,9.160810,9.295954,8.967748,9.035320,9.035320,719767
2016-06-13,8.851910,8.929135,8.668501,8.851910,8.851910,1022156
2016-06-14,8.765032,8.871216,8.678154,8.784338,8.784338,891110
2016-06-15,8.784338,8.948441,8.687807,8.880870,8.880870,927886
2016-06-16,8.793992,8.977401,8.726420,8.977401,8.977401,304979
2016-06-17,8.977401,9.112544,8.784338,8.987054,8.987054,642797
